Old Site Link,New Site Link,Content Status,Missing / Changed Content
https://drdantegonzales.com/blog/invisalign-for-adults.php,https://dante-new.vercel.app/blog/invisalign-for-adults.html,PARTIAL — CONTENT MISSING/CHANGED,"Every heading, paragraph, list, both tables and all 5 FAQs are preserved, and all figures match ($3,000 to $8,000 average, $2,500 – $3,500 Invisalign Lite, $6,000 – $7,500+ complex, $1,000 to $3,000 insurance coverage, '3 to 28 months', 'Every 10-14 weeks'). Only defect: publication date changed. Old byline reads '2 June, 2026'; new page reads 'June 1, 2026'. Restore June 2, 2026."
https://drdantegonzales.com/blog/can-you-wear-invisalign-only-at-night.php,https://dante-new.vercel.app/blog/can-you-wear-invisalign-only-at-night.html,PASS — CONTENT PRESERVED,None
https://drdantegonzales.com/blog/can-invisalign-fix-overbite.php,https://dante-new.vercel.app/blog/can-invisalign-fix-an-overbite.html,PASS — CONTENT PRESERVED,None
https://drdantegonzales.com/blog/can-invisalign-fix-underbite.php,https://dante-new.vercel.app/blog/can-invisalign-fix-an-underbite.html,PARTIAL — CONTENT MISSING/CHANGED,"Body copy, all headings (What Is an Underbite?, Common Causes, Mild/Moderate/Severe Underbites, How Invisalign Treatment Corrects an Underbite + 4 sub-sections, comparison table, candidacy list, Oral Health Impact, Why Early Treatment, CTA) and all 5 FAQs are fully preserved with identical numbers (10-12 months, 12 to 18 months, 12 to 24 months, 20 to 22 hours, 10-14 weeks, 10-12 weeks, 6-8 weeks, ages 8-12). Only defect: publication date changed — old page shows '1 June, 2026', new page shows 'May 19, 2026'. Restore the June 1, 2026 date."
https://drdantegonzales.com/blog/does-invisalign-hurt-more-than-braces.php,https://dante-new.vercel.app/blog/does-invisalign-hurt-more-than-braces.html,PASS — CONTENT PRESERVED,None
https://drdantegonzales.com/blog/can-orthodontic-treatment-help-sleep-apnea.php,https://dante-new.vercel.app/blog/can-orthodontic-treatment-help-sleep-apnea.html,PASS — CONTENT PRESERVED,None
https://drdantegonzales.com/blog/can-you-drink-with-invisalign.php,https://dante-new.vercel.app/blog/can-you-drink-with-invisalign.html,PASS — CONTENT PRESERVED,None
https://drdantegonzales.com/blog/what-is-sleep-apnea-caused-by.php,https://dante-new.vercel.app/blog/what-is-sleep-apnea-caused-by.html,PASS — CONTENT PRESERVED,None
https://drdantegonzales.com/blog/how-to-clean-invisalign-properly.php,https://dante-new.vercel.app/blog/how-to-clean-invisalign-properly.html,PASS — CONTENT PRESERVED,None
https://drdantegonzales.com/blog/can-you-eat-with-invisalign.php,https://dante-new.vercel.app/blog/can-you-eat-with-invisalign.html,PASS — CONTENT PRESERVED,None
https://drdantegonzales.com/blog/can-you-chew-gum-with-invisalign.php,https://dante-new.vercel.app/blog/can-you-chew-gum-with-invisalign.html,PASS — CONTENT PRESERVED,None
https://drdantegonzales.com/blog/does-invisalign-hurt.php,https://dante-new.vercel.app/blog/does-invisalign-hurt.html,PASS — CONTENT PRESERVED,None
https://drdantegonzales.com/blog/jaw-pain-on-one-side.php,https://dante-new.vercel.app/blog/jaw-pain-on-one-side.html,PASS — CONTENT PRESERVED,None
https://drdantegonzales.com/blog/what-is-teeth-protrusion.php,https://dante-new.vercel.app/blog/what-is-teeth-protrusion.html,PASS — CONTENT PRESERVED,None
https://drdantegonzales.com/blog/what-is-malocclusion-of-teeth.php,https://dante-new.vercel.app/blog/what-is-malocclusion-of-teeth.html,PASS — CONTENT PRESERVED,None
https://drdantegonzales.com/blog/what-causes-crowded-teeth-and-how-dentists-fix-them.php,https://dante-new.vercel.app/blog/what-causes-crowded-teeth-and-how-dentists-fix-them.html,PASS — CONTENT PRESERVED,None
https://drdantegonzales.com/blog/the-best-techniques-to-floss-teeth-with-braces-effectively.php,https://dante-new.vercel.app/blog/the-best-techniques-to-floss-teeth-with-braces-effectively.html,PASS — CONTENT PRESERVED,None
https://drdantegonzales.com/blog/how-braces-can-correct-crooked-teeth-a-complete-guide.php,https://dante-new.vercel.app/blog/how-braces-can-correct-crooked-teeth-a-complete-guide.html,PASS — CONTENT PRESERVED,None
https://drdantegonzales.com/blog/how-braces-can-lead-to-white-marks-and-what-you-can-do-about-it.php,https://dante-new.vercel.app/blog/how-braces-can-lead-to-white-marks-and-what-you-can-do-about-it.html,PASS — CONTENT PRESERVED,None
https://drdantegonzales.com/blog/how-to-fix-a-gap-between-teeth-treatment-options-compared.php,https://dante-new.vercel.app/blog/how-to-fix-a-gap-between-teeth-treatment-options-compared.html,PASS — CONTENT PRESERVED,None
https://drdantegonzales.com/blog/can-you-get-braces-with-missing-teeth-heres-what-orthodontists-say.php,https://dante-new.vercel.app/blog/can-you-get-braces-with-missing-teeth-heres-what-orthodontists-say.html,PASS — CONTENT PRESERVED,None
https://drdantegonzales.com/blog/how-to-brush-teeth-with-braces.php,https://dante-new.vercel.app/blog/how-to-brush-teeth-with-braces.html,PASS — CONTENT PRESERVED,None
https://drdantegonzales.com/blog/do-braces-or-invisalign-hurt-what-to-expect-during-your-first-week.php,https://dante-new.vercel.app/blog/do-braces-or-invisalign-hurt-what-to-expect-during-your-first-week.html,PASS — CONTENT PRESERVED,None
https://drdantegonzales.com/blog/braces-create-small-gap-between-front-teeth-is-it-normal.php,https://dante-new.vercel.app/blog/braces-create-small-gap-between-front-teeth-is-it-normal.html,PASS — CONTENT PRESERVED,None
https://drdantegonzales.com/blog/can-you-really-straighten-teeth-without-braces.php,https://dante-new.vercel.app/blog/can-you-really-straighten-teeth-without-braces.html,PASS — CONTENT PRESERVED,None
https://drdantegonzales.com/blog/do-braces-hurt-how-long-the-pain-lasts-and-how-to-cope.php,https://dante-new.vercel.app/blog/do-braces-hurt-how-long-the-pain-lasts-and-how-to-cope.html,PASS — CONTENT PRESERVED,None
https://drdantegonzales.com/blog/invisalign-vs-braces-choosing-the-right-option-for-your-smile.php,https://dante-new.vercel.app/blog/invisalign-vs-braces-choosing-the-right-option-for-your-smile.html,PASS — CONTENT PRESERVED,None
https://drdantegonzales.com/blog/the-best-solutions-on-how-to-fix-crowded-teeth-effectively.php,https://dante-new.vercel.app/blog/the-best-solutions-on-how-to-fix-crowded-teeth-effectively.html,PASS — CONTENT PRESERVED,None
https://drdantegonzales.com/blog/can-you-chew-gum-with-invisalign-without-affecting-your-treatment.php,https://dante-new.vercel.app/blog/can-you-chew-gum-with-invisalign-without-affecting-your-treatment.html,PASS — CONTENT PRESERVED,None
https://drdantegonzales.com/blog/can-tmj-dysfuntion-cause-ear-pain.php,https://dante-new.vercel.app/blog/can-tmj-dysfuntion-cause-ear-pain.html,PASS — CONTENT PRESERVED,None
https://drdantegonzales.com/blog/what-is-an-underbite.php,https://dante-new.vercel.app/blog/what-is-an-underbite.html,PASS — CONTENT PRESERVED,None
https://drdantegonzales.com/blog/what-is-a-deep-bite.php,https://dante-new.vercel.app/blog/what-is-a-deep-bite.html,PASS — CONTENT PRESERVED,None
https://drdantegonzales.com/blog/can-braces-fix-an-overbite-permanently.php,https://dante-new.vercel.app/blog/can-braces-fix-an-overbite-permanently.html,PASS — CONTENT PRESERVED,None
https://drdantegonzales.com/blog/can-invisalign-fix-protruding-front-teeth.php,https://dante-new.vercel.app/blog/can-invisalign-fix-protruding-front-teeth.html,PARTIAL — CONTENT MISSING/CHANGED,"All headings, paragraphs, the braces-vs-Invisalign table and the 20-22 hours/22 hours-a-day figures are intact. Missing: the intro's outbound citation. Old text ""According to a recent study"" hyperlinked ""recent study"" to https://www.researchgate.net/publication/383079419_Deep_overbite_reduction_in_adolescent_patients_treated_with_Invisalign_A_retrospective_analysis; new page (blog/can-invisalign-fix-protruding-front-teeth.html line 272) has the words as plain text with no link. Restore the anchor. Minor: the Pros/Cons nested list is flattened so ""Pros"" and ""Cons"" merge into the first bullet of each group (""Pros Discreet appearance"", ""Cons Can sometimes cost more..."") — all items are present but the two labels should be headings again."
https://drdantegonzales.com/blog/overbite-vs-underbite.php,https://dante-new.vercel.app/blog/overbite-vs-underbite.html,PASS — CONTENT PRESERVED,None
https://drdantegonzales.com/blog/crowded-teeth-before-and-after.php,https://dante-new.vercel.app/blog/crowded-teeth-before-and-after.html,PARTIAL — CONTENT MISSING/CHANGED,"Body copy, headings and the crowding/treatment-time table (6-12, 12-18, 18-24, 24+, 30+ months) are intact. Two defects: (1) Publication date CHANGED — old page shows ""May 21, 2025"", new page shows ""February 18, 2025"" (blog/crowded-teeth-before-and-after.html line 256); it duplicates the braces-vs-invisalign date and should be restored to May 21, 2025. (2) Intro citation link dropped: old linked ""orthodontic treatment"" to https://www.mdpi.com/2076-3417/13/6/4035; new page has the phrase as plain text with no anchor."
https://drdantegonzales.com/blog/braces-vs-invisalign.php,https://dante-new.vercel.app/blog/braces-vs-invisalign.html,PASS — CONTENT PRESERVED,None
https://drdantegonzales.com/blog/best-age-for-braces.php,,NOT COMPLETED,No completed new page
https://drdantegonzales.com/blog/is-invisalign-worth-it-for-adults.php,,NOT COMPLETED,No completed new page
